,name,link
313,DGPT Championship Presented by Guaranteed Rate,https://www.pdga.com/tour/event/48691
314,DGPT - Las Vegas Challenge presented by Innova,https://www.pdga.com/tour/event/55580
315,DGPT - Waco Annual Charity Open presented by Prodigy Disc,https://www.pdga.com/tour/event/55582
316,27th Annual Texas State Disc Golf Championship Presented by Latitude 64 - National Tour,https://www.pdga.com/tour/event/55583
317,PDGA Champions Cup Presented by Bushnell,https://www.pdga.com/tour/event/55451
318,DGPT - Play It Again Sports Jonesboro Open powered by Prodigy,https://www.pdga.com/tour/event/55584
319,DGPT - Dynamic Discs Open,https://www.pdga.com/tour/event/55585
320,DGPT - OTB Open,https://www.pdga.com/tour/event/55586
321,DGPT - Portland Open presented by Dynamic Discs,https://www.pdga.com/tour/event/55587
322,DGPT - Idlewild Open presented by Dynamic Discs & The Nati,https://www.pdga.com/tour/event/55589
323,2022 PDGA Masters Disc Golf World Championships,https://www.pdga.com/tour/event/55458
324,DGPT - The Preserve Championship designed by Leiviska Disc Golf,https://www.pdga.com/tour/event/55588
325,DGPT - Discraft's Great Lakes Open,https://www.pdga.com/tour/event/55590
326,DGPT - Discraft Ledgestone Insurance Open,https://www.pdga.com/tour/event/55591
327,DGPT - The TruBank Des Moines Challenge,https://www.pdga.com/tour/event/55592
328,2022 PDGA Professional Disc Golf World Championships Presented by Dynamic Discs,https://www.pdga.com/tour/event/55460
329,2022 PDGA Tim Selinske U.S. Masters Championships,https://www.pdga.com/tour/event/55565
330,DGPT - Discraft's Green Mountain Championship,https://www.pdga.com/tour/event/55593
331,DGPT - MVP Open at Maple Hill,https://www.pdga.com/tour/event/55594
332,DGPT Championship,https://www.pdga.com/tour/event/55595
