Name,PDGA #,Rating,Year,Gender,Class,Division,Country,State/Province,Events,Points,Cash
Z. Finwall,89111,982,2021,Male,Pro,Open,United States,Illinois,26,7460,3589.00
B. Earhart,45879,1006,2021,Male,Pro,Open,United States,Illinois,15,10130,3585.00
B. Cawthorne,60069,999,2021,Male,Pro,Open,United States,Oklahoma,22,3705,3579.00
C. McMorran,64751,925,2021,Female,Pro,Open Women,United States,Tennessee,10,757,3545.00
M. Blakely,15410,1001,2021,Male,Pro,Open,United States,Ohio,24,3177,3541.00
S. Lätt,61186,1012,2021,Male,Pro,Open,Estonia,,14,6025,3537.00
M. Thompson,125969,1003,2021,Male,Pro,Open,United States,North Carolina,17,1957,3531.00
A. Lyon,80636,996,2021,Male,Pro,Open,United States,California,24,8707,3530.00
M. Loya,4428,984,2021,Male,Pro,Pro Masters 50+,United States,California,7,762,3525.00
J. Umstead,42066,884,2021,Female,Pro,Pro Masters Women 40+,United States,California,10,238,3519.00
M. Seaborn,29264,1023,2021,Male,Pro,Open,United States,Texas,7,4597,3515.00
L. Lehtinen,82297,1023,2021,Male,Pro,Open,Finland,,8,5265,3506.00
R. Latta,51685,1008,2021,Male,Pro,Open,United States,Florida,13,5897,3504.00
B. Schultz,6840,1022,2021,Male,Pro,Pro Masters 50+,United States,North Carolina,1,495,3500.00
B. Ásgeirsson,80554,1017,2021,Male,Pro,Open,Iceland,,7,1592,3490.00
J. Anderson,55776,1001,2021,Male,Pro,Open,United States,Oregon,20,4917,3488.00
B. Tillman,46480,1010,2021,Male,Pro,Open,United States,Oklahoma,15,1580,3482.00
J. Rosak,98161,999,2021,Male,Pro,Open,United States,Pennsylvania,12,4122,3409.00
J. Boothe,61523,984,2021,Male,Pro,Pro Masters 40+,United States,Colorado,10,1836,3402.00
J. Korver,7438,941,2021,Female,Pro,Pro Masters Women 40+,United States,California,2,162,3400.00
C. Jennings,88568,921,2021,Female,Pro,Open Women,United States,Ohio,19,729,3385.00
C. Farnham,17686,999,2021,Male,Pro,Pro Masters 40+,United States,Texas,8,1808,3359.00
D. Sahr,39552,994,2021,Male,Pro,Open,United States,Minnesota,12,3370,3355.00
F. Martinez,56725,988,2021,Male,Pro,Open,United States,California,22,5170,3355.00
S. Hansen,81960,963,2021,Male,Pro,Pro Masters 40+,United States,Utah,11,798,3353.00
A. Benson,96030,936,2021,Female,Pro,Open Women,United States,Vermont,14,634,3322.00
V. Mäkelä,59635,1030,2021,Male,Pro,Open,Finland,,6,4310,3317.00
L. Hancock,103050,998,2021,Male,Pro,Open,United States,Utah,24,11617,3317.00
H. Reid,72429,988,2021,Male,Pro,Open,United States,Connecticut,10,3245,3315.00
J. Burns,74312,991,2021,Male,Pro,Open,United States,Virginia,21,3077,3311.00
K. Couch,7714,977,2021,Male,Pro,Pro Masters 60+,United States,California,5,406,3305.00
D. Diehl,77771,991,2021,Male,Pro,Open,United States,Tennessee,21,2750,3302.00
T. Rafaleowski,111099,1001,2021,Male,Pro,Open,United States,North Carolina,27,3262,3301.00
T. Earhart,54106,1017,2021,Male,Pro,Open,United States,Illinois,12,5280,3294.00
S. Merritt,27053,984,2021,Male,Pro,Pro Masters 50+,United States,Nevada,7,564,3293.00
N. Baker,86443,982,2021,Male,Pro,Open,United States,Texas,16,1570,3284.00
J. Hebenheimer,43762,990,2021,Male,Pro,Open,United States,Missouri,28,11682,3282.00
C. Harris,37146,1006,2021,Male,Pro,Open,United States,Texas,12,5200,3277.00
D. Feldberg,12626,1021,2021,Male,Pro,Open,United States,Georgia,9,3645,3270.00
S. Henderson,56544,985,2021,Male,Pro,Open,United States,Massachusetts,17,3377,3265.00
J. Stoll,68103,975,2021,Male,Pro,Open,United States,Michigan,32,6627,3223.00
S. Ananda,58303,934,2021,Female,Pro,Open Women,United States,Washington,6,1392,3223.00
I. Marrs,65220,979,2021,Male,Pro,Open,United States,Texas,39,4320,3203.00
T. Keith,17661,980,2021,Male,Pro,Pro Masters 60+,United States,Alabama,1,216,3200.00
C. Dockrill,63240,983,2021,Male,Pro,Open,United States,Ohio,15,1735,3192.00
T. Perks,68437,1003,2021,Male,Pro,Open,United States,Texas,14,2345,3192.00
N. Moorehouse,84626,985,2021,Male,Pro,Open,United States,Michigan,29,4042,3191.00
H. Manahan,62886,1003,2021,Male,Pro,Open,United States,Arizona,14,5430,3163.00
C. Ferrill,86409,994,2021,Male,Pro,Open,United States,Washington,20,2862,3145.00
A. Anselmo,56579,997,2021,Male,Pro,Open,United States,North Carolina,15,3837,3137.00
J. Kester,36777,1005,2021,Male,Pro,Open,United States,Colorado,10,4180,3134.00
B. Cook,36931,1008,2021,Male,Pro,Open,United States,Washington,9,2017,3134.00
M. Arauza,87267,987,2021,Male,Pro,Open,United States,California,30,5662,3112.00
S. Schultz,79047,1011,2021,Male,Pro,Open,United States,Louisiana,11,2957,3109.00
D. Snapp,25999,989,2021,Male,Pro,Pro Masters 40+,United States,Virginia,15,1466,3091.00
M. Chapalonis,70741,991,2021,Male,Pro,Open,United States,Massachusetts,17,5747,3090.00
B. Stetson,79063,995,2021,Male,Pro,Open,United States,Rhode Island,18,2382,3088.00
D. Hass,94907,988,2021,Male,Pro,Open,United States,Michigan,21,7712,3083.00
M. Burnett,22546,1000,2021,Male,Pro,Open,United States,Michigan,8,2815,3076.00
H. Handley,133547,922,2021,Female,Pro,Open Women,United States,California,13,1287,3073.00
J. Häme,64890,1022,2021,Male,Pro,Open,Finland,,6,3862,3057.00
S. Burtard,17948,989,2021,Male,Pro,Open,United States,Wisconsin,13,3752,3055.00
B. Thomas,68979,992,2021,Male,Pro,Open,United States,Kentucky,17,5105,3050.00
T. Reyes,27937,981,2021,Male,Pro,Pro Masters 40+,United States,Pennsylvania,9,660,3033.00
D. Polk,27276,993,2021,Male,Pro,Pro Masters 40+,United States,Minnesota,10,914,3030.00
A. Hermosillo,25345,989,2021,Male,Pro,Pro Masters 40+,United States,Illinois,6,1508,3028.00
M. Kistner,43592,1004,2021,Male,Pro,Open,United States,New York,16,1992,3017.00
L. Lewis,68695,985,2021,Male,Pro,Open,United States,Oklahoma,24,6195,3001.00
S. Gilpin,87338,940,2021,Female,Pro,Open Women,United States,Iowa,8,1026,2999.00
M. Polson,87738,989,2021,Male,Pro,Open,United States,Iowa,24,7100,2979.00
M. Tomaino,60798,923,2021,Female,Pro,Open Women,United States,Oregon,22,933,2979.00
B. O'Neill,89114,976,2021,Male,Pro,Open,United States,Maryland,30,2970,2976.00
A. Doyle,32750,1008,2021,Male,Pro,Open,United States,Florida,12,2452,2959.00
D. Snelling,45739,981,2021,Male,Pro,Open,United States,Illinois,16,2122,2958.00
